  2454514.173741  15.7486 0.1808  18.3  2.735  3.087
  2454515.165016  16.7076 0.2411  18.4  2.736  3.077
  2454515.202179  15.3124 0.2216  18.4  2.736  3.076
  2454516.159667  16.3301 0.0667  18.5  2.737  3.066
  2454516.197203  16.3880 0.0670  18.5  2.737  3.065
  2454522.111015  18.1578 0.4902  19.2  2.742  2.999
  2454529.108348  16.1544 0.0952  19.9  2.749  2.918
  2454529.144389  16.2276 0.0857  19.9  2.749  2.917
  2454529.182066  16.1581 0.0983  19.9  2.749  2.917
  2454530.152897  20.8216 2.8020  20.0  2.749  2.905
  2454530.189928  16.4975 0.1065  20.0  2.749  2.905
  2454530.226968  16.6100 0.1462  20.0  2.750  2.904
