2003 2003_lightcurve.dat
2010 2010_lightcurve.dat
2011 2011_lightcurve.dat
2022 2022_lightcurve.dat
2033 2033_lightcurve.dat
2043 2043_lightcurve.dat
2046 2046_lightcurve.dat
2069 2069_lightcurve.dat
2071 2071_lightcurve.dat
2094 2094_lightcurve.dat
2103 2103_lightcurve.dat
2118 2118_lightcurve.dat
2126 2126_lightcurve.dat
2129 2129_lightcurve.dat
2133 2133_lightcurve.dat
2149 2149_lightcurve.dat
2162 2162_lightcurve.dat
2163 2163_lightcurve.dat
2169 2169_lightcurve.dat
2171 2171_lightcurve.dat
2186 2186_lightcurve.dat
2194 2194_lightcurve.dat
2224 2224_lightcurve.dat
2231 2231_lightcurve.dat
2236 2236_lightcurve.dat
2263 2263_lightcurve.dat
2268 2268_lightcurve.dat
2278 2278_lightcurve.dat
2280 2280_lightcurve.dat
2286 2286_lightcurve.dat
2288 2288_lightcurve.dat
2310 2310_lightcurve.dat
2314 2314_lightcurve.dat
2336 2336_lightcurve.dat
2341 2341_lightcurve.dat
2342 2342_lightcurve.dat
2345 2345_lightcurve.dat
2360 2360_lightcurve.dat
2366 2366_lightcurve.dat
2379 2379_lightcurve.dat
2387 2387_lightcurve.dat
2388 2388_lightcurve.dat
2394 2394_lightcurve.dat
2403 2403_lightcurve.dat
2417 2417_lightcurve.dat
2424 2424_lightcurve.dat
2432 2432_lightcurve.dat
2439 2439_lightcurve.dat
2445 2445_lightcurve.dat
2465 2465_lightcurve.dat
2485 2485_lightcurve.dat
2487 2487_lightcurve.dat
2488 2488_lightcurve.dat
2503 2503_lightcurve.dat
2511 2511_lightcurve.dat
2515 2515_lightcurve.dat
2520 2520_lightcurve.dat
2521 2521_lightcurve.dat
2526 2526_lightcurve.dat
2533 2533_lightcurve.dat
2538 2538_lightcurve.dat
2544 2544_lightcurve.dat
2552 2552_lightcurve.dat
2554 2554_lightcurve.dat
2558 2558_lightcurve.dat
2565 2565_lightcurve.dat
2575 2575_lightcurve.dat
2576 2576_lightcurve.dat
2592 2592_lightcurve.dat
2594 2594_lightcurve.dat
2617 2617_lightcurve.dat
2620 2620_lightcurve.dat
2623 2623_lightcurve.dat
2627 2627_lightcurve.dat
2630 2630_lightcurve.dat
2631 2631_lightcurve.dat
2633 2633_lightcurve.dat
2659 2659_lightcurve.dat
2663 2663_lightcurve.dat
2665 2665_lightcurve.dat
2667 2667_lightcurve.dat
2674 2674_lightcurve.dat
2675 2675_lightcurve.dat
2681 2681_lightcurve.dat
2697 2697_lightcurve.dat
2721 2721_lightcurve.dat
2726 2726_lightcurve.dat
2738 2738_lightcurve.dat
2751 2751_lightcurve.dat
2754 2754_lightcurve.dat
2756 2756_lightcurve.dat
2758 2758_lightcurve.dat
2762 2762_lightcurve.dat
2774 2774_lightcurve.dat
2779 2779_lightcurve.dat
2784 2784_lightcurve.dat
2787 2787_lightcurve.dat
2794 2794_lightcurve.dat
2824 2824_lightcurve.dat
2838 2838_lightcurve.dat
2840 2840_lightcurve.dat
2855 2855_lightcurve.dat
2872 2872_lightcurve.dat
2890 2890_lightcurve.dat
2930 2930_lightcurve.dat
2936 2936_lightcurve.dat
2947 2947_lightcurve.dat
2952 2952_lightcurve.dat
2967 2967_lightcurve.dat
2970 2970_lightcurve.dat
2972 2972_lightcurve.dat
2978 2978_lightcurve.dat
2987 2987_lightcurve.dat
2988 2988_lightcurve.dat
2993 2993_lightcurve.dat
